P:Wen-mei Hwu
Saman Amarasinghe
David August
Vas Bala
Jong-Deok Choi
Brad Calder
Robert Cohn
Dan Connors
Tom Conte
Henk Corporaal
Bob Davidson
Alexander Dean
Jim Dehnert
Evelyn Duesterwald
Carole Dulong
Kemal Ebcioglu
Susan Eggers
Guang Gao
Antonio Gonzalez
Rajiv Gupta
Rick Hank
Urs Hoelzle
Wei Hsu
Richard Johnson
Roy Ju
Jim Larus
Scott Mahlke
Erik Meijer
Gunnar Mein
Michey Mehta
Sam Midkiff
Eliot Moss
Chris J. Newburn
Sanjay Patel
Mike Schlansker
Michael Smith
Mary Lou Soffa
Larry Sullivan
Partha Tirumalai
Mario Wolczko
Ben Zorn
