P: Ilya Sergey
Michael D. Adams
Danel Ahman
Aws Albarghouthi
Zena M. Ariola
Ahmed Bouajjani
Giuseppe Castagna
Cristina David
Mariangiola Dezani-Ciancaglini
Rayna Dimitrova
Jana Dunfield
Aquinas Hobor
Guilhem Jaber
Jeehoon Kang
Ekaterina Komendantskaya
Burcu Kulahcioglu Ozkan
Ori Lahav
Ivan Lanese
Dan Licata
Sam Lindley
Andreas Lochbihler
Cristina Videira Lopes
Stefan Marr
James Noble
Vincent Rahli
Robert Rand
Alejandro Russo
Madhusudan Parthasarathy
Andreas Pavlogiannis
Christine Rizkallah
Gagandeep Singh
Gordon Stewart
Joseph Tassarotti
Bernardo Toninho
