G:Gary Leavens
P:Corina Pasareanu
P:Alessandro Garcia
Rui Abreu
Sven Apel
Gabriele Bavota
Yuriy Brun
Antonio Carzaniga
Jane Cleland-Huang
Rob DeLine
Laura Dillon
Matt Dwyer
Antonio Filieri
Rohit Gheyi
Mark Harman
Marcos Kalinowski
Sunghun Kim
Wei Le
Sam Malek
Sasa Misailovic
Emerson Murphy-Hill
ThanhVu Nguyen
Alessandro Orso
David Rosenblum
David Shepherd
Zhendong Su
Christoph Treude
Shiyi Wei
Guowei Yang
Xiangyu Zhang
Arie van Deursen
Bram Adams
Alberto Bacchelli
Christian Bird
Tevfik Bultan
Satish Chandra
Myra Cohen
Massimiliano Di Penta
Simone Diniz Junqueira Barbosa
Sebastian Elbaum
Marco Gerosa
Lars Grunske
Natalia Juristo
Sarfraz Khurshid
Michele Lanza
David Lo
Nenad Medvidovi&#263;
Martin Monperrus
Peter M&uuml;ller
Tien Nguyen
Martin Robillard
Julia Rubin
Rishabh Singh
Peri Tarr
Sebastian Uchitel
Jon Whittle
Jooyong Yi
Tom Zimmermann
