Rui Abreu
Bram Adams
P: Sven Apel
Andrea Arcuri
Alberto Bacchelli
Arosha Bandara
Luciano Baresi
Steffen Becker
Domenico Bianculli
Paulo Borba
Victor Braberman
Yuriy Brun
Tevfik Bultan
Antonio Carzaniga
Wing-Kwong Chan
James Clause
Jane Cleland-Huang
Vittorio Cortellessa
Prem Devanbu
Elisabetta Di Nitto
Massimiliano Di Penta
Sebastian Elbaum
Antonio Filieri
Gordon Fraser
Alessandro Garcia
Marco Gerosa
Lars Grunske
Mark Harman
Jeff Huang
Valerie Issarny
Brittany Johnson
René Just
Gerti Kappel
Sunghun Kim
Christian Kästner
Wei Le
Yang Liu
David Lo
Sam Malek
Leonardo Mariani
Wes Masri
Nenad Medvidovic
Tim Menzies
Audris Mockus
Henry Muccini
Emerson Murphy-Hill
Patrick Mäder
Shiva Nejati
Thanhvu Nguyen
Nan Niu
Chris Parnin
Corina Pasareanu
Mauro Pezze
Martin Pinzger
Denys Poshyvanyk
Romain Robbes
Abhik Roychoudhury
Julia Rubin
P: Alessandra Russo
Mehrdad Sabetzadeh
Sandro Schulze
Alexander Serebrenik
Martin Shepperd
Norbert Siegmund
Marin Silic
Saurabh Sinha
Diomidis Spinellis
Zhendong Su
Matthias Tichy
Christoph Treude
Bogdan Vasilescu
Willem Visser
Chao Wang
Andrzej Wasowski
Shiyi Wei
Yijun Yu
Andreas Zeller
Xiangyu Zhang
Jianjun Zhao
Thomas Zimmermann
