P: Myra Cohen
P: Thomas Zimmermann
Abhik Roychoudhury
Alessandra Gorla
Alessandra Russo
Alessandro Garcia
Alexander Serebrenik
Andrea Zisman
Andreas Metzger
Anita Sarma
Antonino Sabetta
Ayushi Rastogi
Baishakhi Ray
Barbora Buhnova
Bonita Sharif
Bram Adams
Brittany Johnson
Kla Tantithamthavorn
Chengnian Sun
Christoph Treude
Corina S. Pasareanu
Dan Hao
Daniel Mendez
David Lo
Denae Ford
Diego Garbervetsky
Diomidis Spinellis
Diptikalyan Saha
Dirk Beyer
Elisabetta Di Nitto
Emad Shihab
Emerson Murphy-Hill
Federica Sarro
Foutse Khomh
Gail Kaiser
Georgios Gousios
Gordon Fraser
Gregorio Robles
Hadi Hemmati
Hamid Bagheri
Hao Zhong
Helene Waeselynck
Hitesh Sajnani
Jeff Huang
Jie M. Zhang
Jin L.C. Guo
Jocelyn Simmonds
Jos&eacute; Miguel Rojas
Joshua Garcia
Juan Pablo Galeotti
J&uuml;rgen Cito
Justyna Petke
Kelly Blincoe
Lars Grunske
Laura Moreno
Leonardo Mariani
Lingming Zhang
Lori Pollock
Marcelo d'Amorim
Mark Harman
Marsha Chechik
Mary Lou Soffa
Massimiliano Di Penta
Mauro Pezze
Mehdi Mirakhorli
Mei Nagappan
Michael Lyu
Mike Papadakis
Norbert Siegmund
Paige Rodeghero
Paola Inverardi
Patanamon Thongtanunam
Paul Gr&uuml;nbacher
Paul Ralph
Qirun Zhang
Rachel Tzoref-Brill
Ren&eacute; Just
Robert Dyer
Sasa Misailovic
Satish Chandra
Saurabh Sinha
Shane McIntosh
Shaukat Ali
Shin Hwei Tan
Shin Yoo
Shiva Nejati
Shiyi Wei
Sonal Mahajan
Song Wang
Sonia Haiduc
Sven Apel
Tao Xie
Tevfik Bultan
Thomas Fritz
Thomas LaToza
Thorsten Berger
Ting Liu
Tingting Yu
Venera Arnaoudova
Wei Le
Weihang Wang
Wensheng Dou
Wing-Kwong Chan
Xiangyu Zhang
Xin Peng
Xin Xia
Xuandong Li
Yasutaka Kamei
Ying Zou
Yingfei Xiong
Yuanfang Cai
Zhenchang Xing
Zhendong Su
Zhi Jin
