P:Marsha Chechik
P:Massimiliano Di Penta
Rui Abreu
Shaukat Ali
Dalal Alrajeh
Sven Apel
Venera Arnaoudova
Joanne M. Atlee
Alberto Bacchelli
Luciano Baresi
Gabriele Bavota
Nelly Bencomo
Antonia Bertolino
Dirk Beyer
Domenico Bianculli
Kelly Blincoe
Paulo Borba
Cristian Cadar
Betty H.C. Cheng
Hana Chockler
J&uuml;rgen Cito
Anthony Cleve
Myra Cohen
Vittorio Cortellessa
Davide Di Ruscio
Yvonne Dittrich
Matthew B Dwyer
Bernd Fischer
Gordon Fraser
Vincenzo Gervasi
Jin L.C. Guo
Arie Gurfinkel
Regina Hebig
Marianne Huchard
Valerie Issarny
Zhi Jin
Christine Julien
Ren&eacute; Just
Yasutaka Kamei
Foutse Khomh
Sarfraz Khurshid
Miryung Kim
Christian K&auml;stner
Akash Lal
Yi Li
Mario Linares-V&aacute;squez
Crista Lopes
Panos Louridas
Kelly Lyons
Lei Ma
Sam Malek
Shahar Maoz
Andrian Marcus
Leonardo Mariani
Sergey Mechtaev
Ali Mesbah
Mira Mezini
Ana Milanova
Laura Moreno
Shiva Nejati
James Noble
Nicole Novielli
Ingrid Nunes
Alessandro Orso
Paige Rodeghero
Ana Paiva
Annibale Panichella
Patrizio Pelliccione
Xin Peng
Justyna Petke
Gustavo Pinto
Martin Pinzger
Denys Poshyvanyk
Michael Pradel
Baishakhi Ray
Martin P. Robillard
Gregorio Robles
Abhik Roychoudhury
Mehrdad Sabetzadeh
Diptikalyan Saha
Anita Sarma
Federica Sarro
Ina Schaefer
Sandro Schulze
Alexander Serebrenik
Bonita Sharif
David C. Shepherd
Jocelyn Simmonds
Yannis Smaragdakis
Andrea Stocco
Margaret-Anne Storey
Jun Sun
Patanamon Thongtanunam
Rachel Tzoref-Brill
Bogdan Vasilescu
Jon Whittle
Laurie Williams
Andrzej Wasowski
Xin Xia
Tao Xie
Yingfei Xiong
Chang Xu
Shin Yoo
Tingting Yu
Yijun Yu
Tao Yue
Kristin Yvonne Rozier
Andy Zaidman
Andreas Zeller
Dongmei Zhang
Lu Zhang
Jianjun Zhao
Minghui Zhou
Thomas Zimmermann
Andrea Zisman
Ying Zou
Marcelo d'Amorim
