P:Cristian Cadar
P:Miryung Kim
Aldeida Aleti
Muhammad Ali Gulzar
Dalal Alrajeh
S&eacute;bastien Bardin
Earl T. Barr
Jonathan Bell
Antonia Bertolino
&Aacute;rp&aacute;d Besz&eacute;des
Dirk Beyer
Christian Bird
Kelly Blincoe
Eric Bodden
Ray Buse
Marcel B&ouml;hme
Yan Cai
Antonio Carzaniga
Satish Chandra
Sudipta Chattopadhyay
Marsha Chechik
Junjie Chen
Maria Christakis
Myra Cohen
Eva Darulova
Robert DeLine
Giovanni Denaro
Elisabetta Di Nitto
Massimiliano Di Penta
Antonio Filieri
Gordon Fraser
Alessandro Garcia
Georgios Gousios
Jin L.C. Guo
Dan Hao
Mark Harman
Fei He
Anindya Iqbal
Franjo Ivancic
Reyhaneh Jabbarvand
Ciera Jaspan
Lingxiao Jiang
Christine Julien
Gail Kaiser
Akash Lal
Wei Le
Owolabi Legunsen
Crista Lopes
Shan Lu
Michael Lyu
Jie M. Zhang
Lei Ma
Patr&iacute;cia Machado
Sam Malek
Paul Marinescu
Darko Marinov
Phil McMinn
Mira Mezini
Nicole Novielli
Alessandro Orso
Ipek Ozkaya
Rohan Padhye
Mike Papadakis
Liliana Pasquale
Xin Peng
Justyna Petke
Lu&iacute;s Pina
Martin Pinzger
Pavithra Prabhakar
Michael Pradel
Rahul Purandare
Corina S. Pasareanu
Ajitha Rajan
Baishakhi Ray
Manuel Rigger
Noam Rinetzky
Romain Robbes
Gregorio Robles
Paige Rodeghero
Cindy Rubio-Gonz&aacute;lez
Neha Rungta
Alessandra Russo
Sukyoung Ryu
Indranil Saha
Federica Sarro
Bonita Sharif
Elena Sherman
Diomidis Spinellis
Zhendong Su
Yulei Sui
Chengnian Sun
Lin Tan
Shin Hwei Tan
Paolo Tonella
Christoph Treude
Omer Tripp
Rachel Tzoref-Brill
Sebastian Uchitel
Willem Visser
Chao Wang
Lili Wei
Ming Wen
Danny Weyns
Laurie Williams
Zhenchang Xing
Yingfei Xiong
Jun Yan
Tuba Yavuz
Jooyong Yi
Shin Yoo
Tingting Yu
Andy Zaidman
Hongyu Zhang
Lingming Zhang
Tianyi Zhang
Xiangyu Zhang
Xi Zheng
Minghui Zhou
Shurui Zhou
Andrea Zisman
Zhiqiang Zuo
Marcelo d'Amorim
