G:Laura Dillon
P:Willem Visser
P:Laurie Williams
B:Yuriy Brun
B:Gerardo Canfora
B:Betty H.C. Cheng
B:Vittorio Cortellessa
B:Daniela Damian
B:Premkumar Devanbu
B:Sebastian Elbaum
B:Bernd Fischer
B:Marcelo Frias
B:Mark Harman
B:Christine Julien
B:Natalia Juristo
B:Moonzoo Kim
B:Sung Kim
B:Miryung Kim
B:Nenad Medvidovic
B:Gail Murphy
B:Emerson Murphy-Hill
B:Nachiappan Nagappan
B:Alessandro Orso
B:Corina Pasareanu
B:Martin Robillard
B:Per Runeson
B:Caitlin Sadowski
B:Anita Sarma
B:Arie van Deursen
B:Michael W. Whalen
B:Andreas Zeller
Sven Apel 	
Muhammad Ali Babar 	
Alberto Bacchelli 	
Thomas Ball 	
Earl Barr 	
Benoit Baudry 	
Ayse Bener 	
Daniel Berry 	
Ivan Beschastnikh 	
Stefan Biffl 	
Chris Bird 	
Eric Bodden 	
V&iacute;ctor A. Braberman
Tevfik Bultan 	
Cristian Cadar 	
Jeff Carver 	
Shing-chi Cheung 	
James A. Clause 	
Lucas Cordeiro 	
Christoph Csallner 	
Massimiliano Di Penta 	
Tore Dyba 	
Michael D. Ernst 	
Antonio Filieri 	
Gordon Fraser 	
Thomas Fritz 	
Harald Gall 	
Alessandro Garcia 	
David Garlan 	
Jaco Geldenhuys 	
Mark Grechanik 	
John Grundy 	
Stefan Gruner 	
Paul Grunbacher 	
William Halfond 	
Felienne Hermans 	
Reid Holmes 	
John Hosking 	
Sun Jun 	
Andrew Ko 	
Lucas Layman 	
Wei Le 	
Claire Le Goues 	
David Lo 	
Robyn Lutz 	
Leonardo Mariani 	
Fabio Massacci 	
Phil McMinn 	
Nancy Mead 	
Atif Memon 	
Andy Meneely 	
Tim Menzies 	
Ali Mesbah 	
Maurizio Morisio 	
Henry Muccini 	
Hausi A. M&uuml;ller
Brendan Murphy 	
Meiyappan Nagappan 	
Tien Nguyen 	
Linda Northrop 	
Sebastiano Panichella 	
Amit Paradkar 	
Gennaro Parlato 	
Chris Parnin 	
Charles Pecheur 	
Patrizio Pelliccione 	
Suzette Person 	
Dan Port 	
Denys Poshyvanyk 	
Lutz Prechelt 	
John Regehr 	
Brian Robinson 	
Pete Rotella 	
Abhik Roychoudhury 	
Neha Rungta 	
Walt Scacchi 	
Riccardo Scandariato 	
Helen Sharp 	
Saurabh Sinha 	
Neeraj Suri 	
Paolo Tonella 	
Guilherme Travassos 	
Stefan Wagner 	
Chao Wang 	
Westley Weimer 	
Tao Xie 	
Yun Yang 	
Dongmei Zhang 	
Thomas Zimmermann 	
Andrea Zisman 	
