P:Jane Cleland-Huang
P:Darko Marinov
Sven Apel
Antonia Bertolino
V&iacute;ctor Braberman
Lionel Briand
Cristian Cadar
Marsha Chechik
Shing-Chi Cheung
Myra Cohen
Massimiliano Di Penta
Danny Dig
Robert Feldt
Bernd Fischer
Gordon Fraser
John Grundy
Dan Hao
Sarfraz Khurshid
Moonzoo Kim
David Lo
Walid Maalej
Na Meng
Emerson Murphy-Hill
Gail Murphy
Shiva Nejati
Tien N. Nguyen
Denys Poshyvanyk
Abhik Roychoudhury
Cindy Rubio-Gonz&aacute;lez
Alessandra Russo
Federica Sarro
Diomidis Spinellis
Margaret-Anne Storey
Jon Whittle
Tao Xie
Dongmei Zhang
Xiangyu Zhang
Thomas Zimmermann
Arie van Deursen
B:Bram Adams
B:Dalal Alrajeh
B:Nadia Alshahwan
B:Joanne M. Atlee
B:Benoit Baudry
B:Jonathan Bell
B:Thorsten Berger
B:Christian Bird
B:Kelly Blincoe
B:Markus Borg
B:Travis Breaux
B:Yuriy Brun
B:Tevfik Bultan
B:Marcel B&ouml;hme
B:Yuanfang Cai
B:Antonio Carzaniga
B:Betty H.C. Cheng
B:Ruzanna Chitchyan
B:Prem Devanbu
B:Sebastian Elbaum
B:Emelie Engstrom
B:Alessio Ferrari
B:Antonio Filieri
B:Brian Fitzgerald
B:Juan Pablo Galeotti
B:Alessandro Garcia
B:Milos Gligoric
B:Georgios Gousios
B:Lars Grunske
B:Paul Gr&uuml;nbacher
B:Jin L.C. Guo
B:Sonia Haiduc
B:William G.J. Halfond
B:Shi Han
B:Mark Harman
B:Robert Hierons
B:Rashina Hoda
B:Jennifer Horkoff
B:Marieke Huisman
B:Paola Inverardi
B:Valerie Issarny
B:Pooyan Jamshidi
B:Ciera Jaspan
B:Jean-Marc J&eacute;z&eacute;quel
B:Gail Kaiser
B:Marouane Kessentini
B:Jacques Klein
B:Nicholas A. Kraft
B:Christian K&auml;stner
B:Shuvendu K. Lahiri
B:Emmanuel Letier
B:Mario Linares-V&aacute;squez
B:Anna Liu
B:Sam Malek
B:Shahar Maoz
B:Andrian Marcus
B:Leonardo Mariani
B:Christoph Mayr-Dorn
B:Shane McIntosh
B:Collin McMillan
B:Tim Menzies
B:Ali Mesbah
B:Mehdi Mirakhorli
B:Sasa Misailovic
B:Audris Mockus
B:Patrick M&auml;der
B:Mei Nagappan
B:Alessandro Orso
B:Mike Papadakis
B:Liliana Pasquale
B:Patrizio Pelliccione
B:Anna Perini
B:Paul Ralph
B:Awais Rashid
B:Baishakhi Ray
B:Ita Richardson
B:Per Runeson
B:Sukyoung Ryu
B:Mehrdad Sabetzadeh
B:Caitlin Sadowski
B:Alexander Serebrenik
B:Weiyi Shang
B:Bonita Sharif
B:Helen Sharp
B:Elena Sherman
B:Saurabh Sinha
B:Manu Sridharan
B:Jan-Philipp Stegh&ouml;fer
B:Jun Sun
B:Shin Hwei Tan
B:Patanamon Thongtanunam
B:Christoph Treude
B:Ganesha Upadhyaya
B:Michael Vierhauser
B:Chao Wang
B:Westley Weimer
B:Laurie Williams
B:Xin Xia
B:Zhenchang Xing
B:Yingfei Xiong
B:Chang Xu
B:Cemal Yilmaz
B:Shin Yoo
B:Tingting Yu
B:Yijun Yu
B:Lingming Zhang
B:Jianjun Zhao
B:Hao Zhong
B:Minghui Zhou
B:Andrea Zisman
B:Marcelo d'Amorim
