P:Manu Sridharan
G:Jan Vitek
Steve Blackburn
Alastair Donaldson
Colin Gordon
Jeff Huang
Lindsey Kuper
Anders Møller
Nina Narodytska
Nadia Polikarpova
Sukyoung Ryu
Malavika Samak
Adrian Sampson
Rahul Sharma
Armando Solar-Lezama
Omer Tripp
Tobias Wrigstad
Jonathan Aldrich
Maria Christakis
Derek Dreyer
David Grove
Rezwana Karim
Todd Millstein
Santosh Nagarakatte
Hakjoo Oh
Cindy Rubio-Gonzalez
Caitlin Sadowski
Roopsha Samanta
Max Schaefer
Yannis Smaragdakis
Sam Tobin-Hochstadt
Eelco Visser
E:Hans-J. Boehm
E:Christian Hammer
E:Chandra Krintz
E:Benjamin Livshits
E:Ana Milanova
E:Robert O'Callahan
E:Fernando Magno Quintão Pereira
E:Noam Rinetzky
E:Michelle Strout
E:Martin Vechev
E:Harry Xu
E:Sophia Drossopoulou
E:Richard Jones
E:Patrick Lam
E:Francesco Logozzo
E:Madan Musuvathi
E:Uday P. Khedker
E:Rodric Rabbah
E:Bernhard Scholz
E:Zhendong Su
E:Adam Welc
E:Elena Zucca
