P:David Grove 
Amal Ahmed
Karim Ali
Steve Blackburn
James Bornholt
Sebastian Burckhardt
Sarah Chasins
Sophia Drossopoulou
Robert Dyer
José Fragoso Santos
Robert Hirschfeld
Jeff Huang
Atsushi Igarashi
Chandra Krintz
Viktor Kunčak
Patrick Lam
Doug Lea
Mohsen Lesani
Ana Milanova
Todd Millstein
Iulian Neamtiu
Bruno C. d. S. Oliveira
Alex Potanin
Azalea Raad
Gregor Richards
Adrian Sampson
Aritra Sengupta
Rahul Sharma
Eelco Visser
Adam Welc
John Wickerson
Jingling Xue
Yunhui Zheng
E:Jonathan Aldrich
E:Mehdi Bagherzadeh
E:Dan Barowy
E:Hans-J. Boehm
E:Michael Bond
E:Isil Dillig
E:Christos Dimoulas
E:Julian Dolby
E:Stephen J Fink
E:Anitha Gollamudi
E:Dan Grossman
E:Sam Guyer
E:Philipp Haller
E:Marieke Huisman
E:Ondřej Lhoták
E:Louis Mandel
E:Sasa Misailovic
E:Anders Møller
E:Hakjoo Oh
E:Jens Palsberg
E:Erez Petrank
E:Benjamin C. Pierce
E:Michael Pradel
E:Márcio Ribeiro
E:Olivier Tardieu
E:Zachary Tatlock
E:Frank Tip
E:Elena Zucca
