P:Sophia Drossopoulou
Erika Abraham
Karim Ali
Davide Ancona
Gavin Bierman
Steve Blackburn
Michael D. Bond
Edwin Brady
Michael Carbin
Sarah E. Chasins
James Cheney
Shigeru Chiba
Mike Dodds
Colin Gordon
Justin Gottschlich
Michael Greenberg
David Grove
Arjun Guha
Michael Hicks
Marieke Huisman
Atsushi Igarashi
Daniel Jackson
Jeehoon Kang
Viktor Kuncak
Doug Lea
Mohsen Lesani
Crista Lopes
Mira Mezini
Todd Millstein
Sasa Misailovic
Andrew Myers
Iulian Neamtiu
James Noble
Hakjoo Oh
Nadia Polikarpova
Gregor Richards
Aritra Sengupta
Yannis Smaragdakis
Gustavo Soares
Diomidis Spinellis
Manu Sridharan
Alexander J. Summers
Frank Tip
Laurence Tratt
Viktor Vafeiadis
Jan Vitek
Mitchell Wand
Weihang Wang
Adam Welc
John Wickerson
Yunhui Zheng
E:Sara Achour
E:Jonathan Aldrich
E:Nada Amin
E:Julia Belyakova
E:Judith Bishop
E:Hans-J. Boehm
E:James Bornholt
E:Sebastian Burckhardt
E:Satish Chandra
E:Benjamin Chung
E:Cristina Cifuentes
E:Ryan Culpepper
E:Christos Dimoulas
E:Julian Dolby
E:Alastair F. Donaldson
E:Robert Dyer
E:Stephen J Fink
E:Juliana Franco
E:Anitha Gollamudi
E:Dan Grossman
E:Philipp Haller
E:Robert Hirschfeld
E:Jeff Huang
E:Christian Humer
E:Sarfraz Khurshid
E:Marios Kogias
E:Eric Koskinen
E:Lindsey Kuper
E:Patrick Lam
E:Magnus Madsen
E:Ryan Marcus
E:Ana Milanova
E:Stefan K. Muller
E:Toby Murray
E:Sarah Nadi
E:Bruno C. d. S. Oliveira
E:Klaus Ostermann
E:Jens Palsberg
E:Erez Petrank
E:Benjamin C. Pierce
E:Alex Potanin
E:Michael Pradel
E:Dimi Racordon
E:Marianna Rapoport
E:Thomas Reps
E:M&aacute;rcio Ribeiro
E:Adrian Sampson
E:Joshua Sunshine
E:Olivier Tardieu
E:Emma Tosch
E:David Walker
E:Tobias Wrigstad
E:Xiangyu Zhang
