P:Amal Ahmed
P:Jan Vitek
Aws Albarghouthi
Karim Ali
Osbert Bastani
Lars Birkedal
Alvin Cheung
Delphine Demange
Christos Dimoulas
Sophia Drossopoulou
Constantin Enea
Patrick Eugster
Philippa Gardner
Deepak Garg
Neville Grech
Kihong Heo
Chung-Kil Hur
Atsushi Igarashi
Suresh Jagannathan
Ranjit Jhala
Jacques-Henri Jourdan
Ralf Jung
Gail Kaiser
Gowtham Kaki
Shoaib Kamil
Benjamin Lucien Kaminski
Stephen Kell
Robbert Krebbers
Neel Krishnaswami
Milind Kulkarni
Crista Lopes
P. Madhusudan
Stefan Marr
Kathryn S McKinley
Ana Milanova
Hakjoo Oh
Oded Padon
Louis-No&euml;l Pouchet
Aseem Rastogi
Andreas Rossberg
Peter Sewell
Zhong Shao
Tachio Terauchi
Mandana Vaziri
Niki Vazou
Xinyu Wang
He Zhu
