Jade Alglave	 	
Steve Blackburn	 	
Martin Burtscher	
Calin Cascaval	 	
Albert Cohen	 	
William Cook	 	
John Field	 		
Jeff Foster	 		
Ganesh Gopalakrishnan
R. Govindarajan
Dan Grossman   
Gao Guang-Rong 
Sumit Gulwani  
Mary Hall	   
Paul H J Kelly 
Shriram Krishnamurthi
Milind Kulkarni
Scott Mahlke   
Rupak Majumdar 
Roman Manevich 
Vijay Menon	   
Anders M&oslash;ller
Iulian Neamtiu 
David Padua	   
Madhusudan Parthasarathy
P: Keshav Pingali
Shaz Qadeer	 
Noam Rinetzky	
Atanas Rountev	
Koushik Sen
Xipeng Shen
Armando Solar-Lezama
Mandana Vaziri
David Walker
Xiaobing Feng
Ben Zorn
