G:David Grove
P:Steve Blackburn
David Bacon
Sara Baghsorkhi
Michela Becchi
Eric Bodden
Mila Dalla Preda
Lieven Eeckhout
Alexandra (Sasha) Fedorova
Robby Findler
Kathleen Fisher
Nate Foster
Ben Hardekopf
Matthias Hauswirth
Shan Lu
Kathryn S McKinley
Ana Milanova
Michelle Mills Strout
Santosh Nagarakatte
Toshio Nakatani
Erez Petrank
Ruzica Piskac
John Regehr
Tiark Rompf
Manu Sridharan
Guy L. Steele Jr.
Lingjia Tang
Sam Tobin-Hochstadt
Tayssir Touili
Peng Wu
Harry Xu
Greta Yorsh
Zheng Zhang
E:Eddie Aftandilian
E:Jade Alglave
E:Saman Amarasinghe
E:Emery Berger
E:Rastislav Bodik
E:Hans-J. Boehm
E:Carl Friedrich Bolz
E:Michael Bond
E:Michael Burke
E:Martin Burtscher
E:Calin Cascaval
E:John Cavazos
E:Bor-Yuh Evan Chang
E:Swarat Chaudhuri
E:Haibo Chen
E:Wenguang Chen
E:Yifeng Cheng
E:Perry Cheng
E:Albert Cohen
E:Byron Cook
E:William Cook
E:Saumya Debray
E:Brian Demsky
E:Joseph Devietti
E:Dave Dice
E:Thomas Dillig
E:Isil Dillig
E:Chen Ding
E:Amer Diwan
E:Derek Dreyer
E:Sophia Drossopoulou
E:Susan Eisenbach
E:Xiaobing Feng
E:Stephen J Fink
E:Cormac Flanagan
E:Matthew Flatt
E:Daniel Frampton
E:Stephen Freund
E:Patrice Godefroid
E:Ganesh Gopalakrishnan
E:R. Govindarajan
E:Thomas Gross
E:Dan Grossman
E:Sumit Gulwani
E:Rajiv Gupta
E:Sam Guyer
E:Jungwoo Ha
E:Mary Hall
E:Matthew A. Hammer
E:Stefan Hanenberg
E:Tim Harris
E:Michael Hind
E:Martin Hirzel
E:Tony Hosking
E:Hiroshi Inoue
E:Suresh Jagannathan
E:Somesh Jha
E:Ranjit Jhala
E:Pramod Joisha
E:Richard Jones
E:Jaakko J&auml;rvi
E:Mahmut Taylan Kandemir
E:Paul H J Kelly
E:Andrew Kennedy
E:Milind Kulkarni
E:Doug Lea
E:Sorin Lerner
E:Ondrej Lhotak
E:Ben Liblit
E:Benjamin Livshits
E:Simon Marlow
E:Vijay Menon
E:Leo Meyerovich
E:Eliot Moss
E:Todd Mytkowicz
E:Anders M&oslash;ller
E:Satish Narayanasamy
E:Rupesh Nasre
E:Iulian Neamtiu
E:James Noble
E:Michael Norrish
E:Nate Nystrom
E:Robert O'Callahan
E:Rei Odaira
E:Guilherme Ottoni
E:David Padua
E:Jens Palsberg
E:Madhusudan Parthasarathy
E:Mathias Payer
E:Keshav Pingali
E:Alex Potanin
E:Shaz Qadeer
E:Xiaokang Qiu
E:Lawrence Rauchwerger
E:Behnam Robatmili
E:Atanas Rountev
E:Vijay Saraswat
E:Susmit Sarkar
E:Jennifer Sartor
E:Koushik Sen
E:Peter Sewell
E:Xipeng Shen
E:Tatiana Shpeisman
E:Jeremy Siek
E:Jeremy Singer
E:Yannis Smaragdakis
E:Armando Solar-Lezama
E:Matthew Sottile
E:Michael Spear
E:Bjarne Steensgaard
E:Zhendong Su
E:Peter Sweeney
E:Frank Tip
E:Laurence Tratt
E:Mandana Vaziri
E:Martin Vechev
E:T. N. Vijaykumar
E:Christian Wimmer
E:Tobias Wrigstad
E:Thomas Wuerthinger
E:Jingling Xue
E:Eran Yahav
