C:Emery Berger
Martha A. Kim
Hans J. Boehm
David Brumley
Cristian Cadar
Michael Carbin
Albert Cohen
Charlie Curtsinger
Loris D'Antoni
Isil Dillig
Bryan Ford
Matthew Fredrikson
Patrice Godefroid
Arjun Guha
Samuel Guyer
Manuel Hermenegildo
Michael Hicks
Tony Hosking
Ranjit Jhala
Brandon Lucia
Stephen McCamant
Todd Millstein
Todd Mytkowicz
Santosh Nagarakatte
Guilherme Ottoni
Cindy Rubio-Gonzalez
Caitlin Sadowski
Adrian Sampson
Yannis Smaragdakis
Zhendong Su
Zachary Tatlock
Martin Vechev
Eran Yahav
Jean Yang
Greta Yorsh
E:Vikram Adve
E:Steve Blackburn
E:Rastislav Bodik
E:Swarat Chaudhuri
E:Michael D. Ernst
E:Cormac Flanagan
E:Robert Grimm
E:Michael Hind
E:Julia Lawall
E:Doug Lea
E:Ben Liblit
E:Kathryn S. McKinley
E:Andrew Myers
E:Robert O'Callahan
E:Simon Peyton Jones
E:Keshav Pingali
E:Martin Rinard
E:Mooly Sagiv
E:Armando Solar-Lezama
E:Manu Sridharan
E:Guy L. Steele Jr.
E:Michelle Strout
E:David Walker
E:Benjamin Zorn
E:Edward Aftandilian
E:Aws Albarghouthi
E:Owen Arden
E:George Balatsouras
E:Dan Barowy
E:Mark Batty
E:Robert Bocchino
E:Perry Cheng
E:Ravi Chugh
E:John Criswell
E:Eva Darulova
E:George Fourtounis
E:Sicun Gao
E:Colin S. Gordon
E:William Harris
E:Hank Hoffman
E:Justin Hsu
E:Melanie Kambadur
E:Zachary Kincaid
E:Murali Krishna Ramanathan
E:Vu Le
E:Jay Ligatti
E:Jed Liu
E:Fan Long
E:Dan Lustig
E:Saeed Maleki
E:Daniel Marino
E:Sasa Misailovic
E:Peter Ohmann
E:Peter-Michael Osera
E:Marco Pistoia
E:Joe Gibbs Politz
E:Michael Pradel
E:Rodric Rabbah
E:Arjun Radhakrishna
E:Cosmin Radoi
E:Jonathan Ragan-Kelley
E:Mukund Raghotaman
E:Aseem Rastogi
E:Veselin Raychev
E:Cole Schlesinger
E:Julian Shun
E:Stelios Sidiroglou-Douskos
E:Robert Soul&eacute;
E:Gordon Stewart
E:Aditya Thakur
E:Emma Tosch
E:Vlad Ureche
E:John Vilk
E:Bo Wu
E:Xi Yang
