G:Albert Cohen
P:Martin Vechev
Eddie Aftandilian
David F. Bacon
Uday Bondhugula
Bor-Yuh Evan Chang
Swarat Chaudhuri
Alvin Cheung
Ravi Chugh
Joseph Devietti
Cezara Dragoi
Jeffrey S. Foster
Franz Franchetti
Dan Grossman
Tim Harris
Jan Hoffmann
Jeff Huang
Zachary Kincaid
Milind Kulkarni
Francesco Logozzo
Shan Lu
Vikash Mansinghka
Sasa Misailovic
Madan Musuvathi
Onur Mutlu
Anders M&oslash;ller
Mayur Naik
Marco Pistoia
Michael Pradel
Andrey Rybalchenko
Sharon Shoham
Alexandra Silva
Rishabh Singh
Charles Sutton
Eran Yahav
Junfeng Yang
Andreas Zeller
E:Emery Berger
E:Hans-Juergen Boehm
E:Michael Bond
E:Ahmed Bouajjani
E:Nate Foster
E:Stephen Freund
E:Suresh Jagannathan
E:Sorin Lerner
E:Ondrej Lhot&aacute;k
E:P. Madhusudan
E:Todd Millstein
E:Jens Palsberg
E:Erez Petrank
E:John Regehr
E:Vivek Sarkar
E:Koushik Sen
E:Peter Sewell
E:Zhong Shao
E:Armando Solar-Lezama
E:Guy L. Steele Jr.
E:Hongseok Yang
E:Steve Zdancewic
E:Sara Achour
E:Aws Albarghouthi
E:Nada Amin
E:Steve Blackburn
E:James Bornholt
E:Sebastian Burckhardt
E:Michael Carbin
E:Aleksandar Chakarov
E:Adam Chlipala
E:Maria Christakis
E:Eva Darulova
E:Alastair Donaldson
E:Dana Drachsler Cohen
E:John Field
E:Bryan Ford
E:Vijay Ganesh
E:Alexey Gotsman
E:Aarti Gupta
E:Stefan Heule
E:Martin Hirzel
E:Ranjit Jhala
E:Patrick Lam
E:Brandon Lucia
E:Ravichandhran Madhavan
E:Stephen McCamant
E:Santosh Nagarakatte
E:Ryan R. Newton
E:Peter-Michael Osera
E:Hannes Payer
E:Andreas Podelski
E:Zvonimir Rakamaric
E:Veselin Raychev
E:Mariana Raykova
E:Noam Rinetzky
E:Cindy Rubio-Gonz&aacute;lez
E:Rahul Sharma
E:Manu Sridharan
E:Daniel Tarlow
E:Petar Tsankov
E:Laurent Vanbever
E:John Vilk
E:David Walker
E:Jaeheon Yi
E:Kwangkeun Yi
E:Ayal Zaks
E:Xin Zhang
E:Xiangyu Zhang
