Abhinav Verma
Adam Chlipala
Akash Lal
Alastair Reid
Alcides Fonseca
Alexandra Jimborean
Alexey Loginov
Andreas Rossberg
Ayal Zaks
Benjamin Delaware
Brandon Lucia
Brian Demsky
Calin Cascaval
Chao Wang
Charith Mendis
Christos Dimoulas
Chung-Kil Hur
Cindy Rubio-González
Cyrus Omar
Dana Drachsler Cohen
Daniel W. Barowy
David Van Horn
Dimitris Mitropoulos
Eric Eide
Eric Koskinen
Francois Gauthier
Fredrik Kjolstad
Freek Verbeek
Gagandeep Singh
Gang Tan
Gowtham Kaki
Greta Yorsh
Guy Gueta
He Zhu
Hila Peleg
Ilya Sergey
Irene Finocchi
Jade Alglave
James Cheney
James Wilcox
Jan Hoffmann
Jason Ansel
Jean-Baptiste Tristan
Jedidiah McClurg
Jeremy Yallop
Jeremy G. Siek
John Regehr
Jonathan Ragan-Kelley
Jorge A. Pérez
Joseph Tassarotti
Josiah Hester
KC Sivaramakrishnan
Ke Wang
Kevin Ellis
Kihong Heo
Konstantinos Mamouras
Lauren Pick
Leonidas Lampropoulos
Limin Jia
Loris D'Antoni
Louis-Noel Pouchet
Magnus Myreen
Maryam Mehri Dehnavi
Matthias Hauswirth
Michael Bond
Michael Hicks
Michelle Strout
Mihai Budiu
Mohsen Lesani
Mukund Raghothaman
C:Nate Foster
Niki Vazou
Ningning Xie
Noam Rinetzky
Nuno P. Lopes
Oded Padon
Ori Lahav
Owolabi Legunsen
Parosh Aziz Abdulla
Paul Gazzillo
Peisen Yao
Peter-Michael Osera
Pierre Geneves
Ras Bodik
Robbert Krebbers
Ruzica Piskac
Ryan Beckett
Sam Guyer
Sam Tobin-Hochstadt
Satish Chandra
Shan Lu
Sotiris Apostolakis
Stephen Chong
Sukyoung Ryu
Susmit Sarkar
Swarat Chaudhuri
Thomas Shull
Toby Murray
Umut Acar
Veselin Raychev
Viktor Kunčak
Vinod Grover
Walter Binder
Xinyu Feng
Xulong Tang
Yaniv David
Yao Li
Yingfei Xiong
Yizhou Zhang
Yu David Liu
Zachary Tatlock
Zhoulai Fu
Zoe Paraskevopoulou
