P:John Regehr
Zachary Tatlock
Anders M&oslash;ller
Peter M&uuml;ller
Ronald Garcia
Matthew Flatt
Sophia Drossopoulou
Emina Torlak
Umut A. Acar
Aws Albarghouthi
Nada Amin
Owen Arden
Jonathan Balkind
Mark Batty
Walter Binder
Swarnendu Biswas
Steve Blackburn
James Bornholt
Thomas Bourgeat
Marc Brockschmidt
Tej Chajed
Stephen Chang
Sarah E. Chasins
Joonwon Choi
David Darais
Chen Ding
Michael Emmi
Constantin Enea
Andres Erbsen
Jos&eacute; Fragoso Santos
Vijay Ganesh
Timon Gehr
Klaus v. Gleissenthall
Colin Gordon
Justin Gottschlich
Neville Grech
Michael Greenberg
Ronghui Gu
Arjun Guha
Ben Hardekopf
Matthias Hauswirth
Martin Hirzel
Jeff Huang
Suresh Jagannathan
Limin Jia
Gail Kaiser
Shoaib Kamil
Jeehoon Kang
Stephen Kell
Eric Koskinen
V Krishna Nandivada
Murali Krishna Ramanathan
Neel Krishnaswami
Shuvendu K. Lahiri
Patrick Lam
Jaejin Lee
Woosuk Lee
Yao Li
Hongjin Liang
Jay Ligatti
Tongping Liu
Benjamin Livshits
P. Madhusudan
Magnus Madsen
Yatin Manerkar
Micha&euml;l Marcozzi
Ruben Martins
Erik Meijer
Anders Miltner
Sasa Misailovic
Magnus O. Myreen
Vijay Nagarajan
Santosh Nagarakatte
Chandrakana Nandi
Jorge A. Navas
Iulian Neamtiu
ThanhVu Nguyen
Hakjoo Oh
Peter Ohmann
Peter-Michael Osera
Guilherme Ottoni
Sreepathi Pai
Jens Palsberg
Corina Pasareanu
Gustavo Petri
Lu&iacute;s Pina
Cl&eacute;ment Pit-Claudel
Nadia Polikarpova
Louis-No&euml;l Pouchet
Shaz Qadeer
Xiaokang Qiu
Arjun Radhakrishna
Mukund Raghothaman
Tahina Ramananandro
Robert Rand
Aseem Rastogi
Alastair Reid
Xavier Rival
Grigore Ro&#351;u
Cindy Rubio-Gonz&aacute;lez
Sukyoung Ryu
Malavika Samak
Alex Sanchez-Stern
John Sarracino
Koushik Sen
Xipeng Shen
Xujie Si
Jeremy G. Siek
Rob Sison
Tyler Sorensen
Thodoris Sotiropoulos
Caleb Stanford
Deian Stefan
Nikhil Swamy
Tachio Terauchi
Aditya V. Thakur
Jean-Baptiste Tristan
Kapil Vaswani
Niki Vazou
Muralidaran Vijayaraghavan
David Walker
Chenglong Wang
Di Wang
Yuepeng Wang
John Wickerson
Christian Wimmer
Xiaodi Wu
Jingling Xue
Kwangkeun Yi
Nobuko Yoshida
Drew Zagieboylo
Qirun Zhang
Yizhou Zhang
Zheng Zhang
Zhiqiang Zuo

