P:Zachary Tatlock
Bor-Yuh Evan Chang
Loris D'Antoni
Dana Drachsler Cohen
Arjun Guha
James Larus
Sam Lindley
Na Meng
Benjamin C. Pierce
Manu Sridharan
Reto Achermann
Andrew Adams
Maaz Bin Safeer Ahmad
Willow Ahrens
Karim Ali
Saman Amarasinghe
Jason Ansel
Aslan Askarov
Eric Atkinson
Alexander Bakst
Thomas Ball
Sorav Bansal
S&eacute;bastien Bardin
Ryan Beckett
Aaron Bembenek
Gilbert Bernstein
Thomas Bourgeat
Michael Carbin
Calin Cascaval
Chris Casinghino
Arthur Chargu&eacute;raud
Albert Cohen
Will Crichton
Ankush Das
Benjamin Delaware
Jenna DiVincenzo (Wise)
Chris Fallin
Grigory Fedyukovich
Yu Feng
Yannick Forster
Frank Fu
Marco Gaboardi
Joshua Gancher
Andr&eacute;s Goens
Harrison Goldstein
Anitha Gollamudi
Laure Gonnord
Ganesh Gopalakrishnan
Colin Gordon
Ben Greenman
Dan Grossman
Samuel Gruetter
Ronghui Gu
Bill Harris
Philipp G. Haselwarter
Chris Hawblitzel
Brian Hempel
Yann Herklotz
Tony Hosking
Shachar Itzhaky
Jules Jacobs
Susmit Jha
Ranjit Jhala
Konstantinos Kallas
Mahmut Taylan Kandemir
Stephen Kell
Ariel E. Kellison
Fredrik Kjolstad
Thomas Koehler
Viktor Kunčak
Ignacio Laguna
Leonidas Lampropoulos
Daan Leijen
Mohsen Lesani
Alexander K. Lew
Ang Li
Liyi Li
Shaohua Li
Jay P. Lim
Andrew Lumsdaine
P. Madhusudan
Jean-Marie Madiot
Rupak Majumdar
Sharad Malik
Konstantinos Mamouras
Umang Mathur
Ana Milanova
Manasij Mukherjee
Santosh Nagarakatte
Chandrakana Nandi
Rachit Nigam
Michael F. P. O'Boyle
Liam O'Connor
Rohan Padhye
Oded Padon
Karl Palmskog
Artem Pelenitsyn
Erez Petrank
Jean Pichon-Pharabod
Andr&eacute; Platzer
Alex Potanin
Azalea Raad
Robert Rand
Alex Reinking
Tiark Rompf
Neil Julien Ross
Feras Saad
Cole Schlesinger
Taro Sekiyama
Denys Shabalin
Rahul Sharma
Gagandeep Singh
Rob Sison
Yannis Smaragdakis
Thodoris Sotiropoulos
Caleb Stanford
Guy L. Steele Jr.
Michel Steuwer
Kirshanthan Sundararajah
Joshua Sunshine
Jubi Taneja
Manas Thakur
Amin Timany
Sam Tobin-Hochstadt
Mat&iacute;as Toro
Beno&icirc;t Valiron
Alexa VanHattum
Chenxi Wang
Ke Wang
Conrad Watt
Guannan Wei
Sam Westrick
Max Willsey
Xiaodi Wu
Ningning Xie
Greta Yorsh
Zhiqiang Zuo

