G:Sriram Rajamani
P:David Walker
Umut Acar
Amal Ahmed
Jade Alglave
Karthikeyan Bhargavan
Rastislav Bod&#237;k
Giuseppe Castagna
Satish Chandra
Swarat Chaudhuri
Ravi Chugh
Patrick Cousot
Robby Findler
Jeff Foster
C&eacute;dric Fournet
Deepak Garg
Arjun Guha
Ralf Hinze
Martin Hofmann
Joxan Jaffar
Patricia Johann
Naoki Kobayashi
Gabriele Keller
Dan Licata
Mayur Naik
David Pichardie
Brigitte Pientka
Madhusudan Parthasarathy
Fran&ccedil;ois Pottier
Shaz Qadeer
Ganesan Ramalingam
Greta Yorsh
E:Andreas Abel
E:Davide Ancona
E:David Aspinall
E:Michael Benedikt
E:Nick Benton
E:Josh Berdine
E:Emery Berger
E:Lars Birkedal
E:Supratik Chakraborty
E:Bor-Yuh Evan Chang
E:Arthur Chargueraud
E:Avik Chaudhuri
E:Wei-Ngan Chin
E:Stephen Chong
E:Michael Clarkson
E:Delphine Demange
E:Alastair Donaldson
E:Gabriel Dos Reis
E:Derek Dreyer
E:Michael Emmi
E:Xinyu Feng
E:Kathleen Fisher
E:Nate Foster
E:Pierre Geneves
E:Dan Ghica
E:Andrew D. Gordon
E:Dan Grossman
E:Sumit Gulwani
E:Fritz Henglein
E:Aquinas Hobor
E:Jan Hoffmann
E:Zhenjiang Hu
E:Shan Shan Huang
E:Chung-Kil Hur
E:Atsushi Igarashi
E:Dexter Kozen
E:Neelakantan Krishnaswami
E:Raghavan Komondoor
E:Shuvendu Lahiri
E:Xavier Leroy
E:Ben Livshits
E:Matteo Maffei
E:Rupak Majumdar
E:Jay McCarthy
E:Matthew Might
E:Antoine Min&eacute;
E:Andrzej Murawski
E:Toby Murray
E:Matthew Parkinson
E:Frank Pfenning
E:Xavier Rival
E:Mooly Sagiv
E:Helmut Seidl
E:Nishant Sinha
E:Manu Sridharan
E:Nikhil Swamy
E:Zachary Tatlock
E:Peter Thiemann
E:Sam Tobin-Hochstadt
E:Emina Torlak
E:Kapil Vaswani
E:Jules Villard
E:Philip Wadler
E:Stephanie Weirich
E:Jingling Xue
E:Eran Yahav
E:Hongseok Yang
