P:Andrew Myers 
Thorsten Altenkirch 
Nada Amin 
Nadav Amit 
Gilles Barthe 
Mark Batty 
Lars Birkedal 
Pavol Cerny 
James Cheney 
Koen Claessen 
William Cook 
Karl Crary 
Loris D'Antoni 
Mila Dalla Preda 
Isil Dillig 
Sophia Drossopoulou 
Constantin Enea 
Azadeh Farzan 
Xinyu Feng 
Atsushi Igarashi 
Laura Kovacs 
Neelakantan R. Krishnaswami
Sorin Lerner 
Xavier Leroy 
Conor McBride 
Mira Mezini 
Matthew Might 
Peter M&uuml;ller 
Santosh Nagarakatte 
Aleksandar Nanevski 
Klaus Ostermann 
Ruzica Piskac 
Nadia Polikarpova 
Zvonimir Rakamaric 
Aseem Rastogi 
Grigore Rosu 
Andrey Rybalchenko 
Amr Sabry 
David Sands 
Davide Sangiorgi 
Peter Sewell 
Zhong Shao 
Yannis Smaragdakis 
Zhendong Su 
&Eacute;ric Tanter 
Zachary Tatlock 
Tachio Terauchi 
Viktor Vafeiadis 
Philip Wadler 
David Walker 
Stephanie Weirich 
Jean Yang 
Danfeng Zhang 
