P:Jeff Gray
P:Mark van den Brand
Alexander Serebrenik
Brian Malloy
Charles Consel
Colin Atkinson
Daniel Oberle
Don Batory
Eelco Visser
Eli Tilevich
Fr&eacute;d&eacute;ric Jouault
Giancarlo Guizzardi
Gregor Engels
James Power
Jo&atilde;o Saraiva
John Boyland
Juha-Pekka Tolvanen
Julia Lawall
Jun Suzuki
Jurgen Vinju
Kim Mens
Marco Brambilla
Marjan Mernik
Martin Gogolla
Mary Lou Soffa
Nicholas Kraft
Paulo Borba
Pierre-Alain Muller
Pierre-Etienne Moreau
Reiko Heckel
Ren&eacute; Witte
Richard Paige
Robert Fuhrer
Shigeru Chiba
Steffen Staab
Stephen Edwards
Thomas K&uuml;hne
Timothy Lethbridge
Todd Millstein
Tony Sloane
Walid Taha
